iter	Passed	Remaining
326	5132	10562
327	5156	10563
328	5167	10538
329	5196	10549
330	5216	10543
331	5231	10525
332	5244	10504
333	5258	10486
334	5270	10461
335	5289	10453
336	5333	10491
337	5356	10490
338	5385	10501
339	5403	10489
340	5430	10494
341	5449	10484
342	5470	10478
343	5501	10490
344	5522	10485
345	5544	10480
346	5561	10466
347	5577	10449
348	5588	10425
349	5609	10417
350	5624	10399
351	5641	10386
352	5654	10364
353	5675	10357
354	5689	10336
355	5708	10327
356	5725	10312
357	5743	10300
358	5760	10286
359	5780	10276
360	5792	10253
361	5805	10231
362	5818	10209
363	5836	10197
364	5852	10182
365	5870	10168
366	5887	10154
367	5908	10147
368	5921	10126
369	5936	10108
370	5948	10084
371	5961	10064
372	5972	10039
373	5982	10012
374	5997	9996
375	6007	9970
376	6023	9954
377	6041	9942
378	6056	9924
379	6076	9914
380	6094	9902
381	6106	9879
382	6122	9863
383	6143	9855
384	6161	9842
385	6184	9837
386	6200	9821
387	6215	9804
388	6229	9784
389	6241	9762
390	6259	9749
391	6272	9729
392	6287	9710
393	6302	9693
394	6313	9670
395	6331	9657
396	6346	9639
397	6365	9628
398	6381	9611
399	6400	9600
400	6419	9589
401	6436	9574
402	6457	9565
403	6476	9554
404	6494	9540
405	6507	9520
406	6523	9504
407	6536	9484
408	6560	9479
409	6574	9460
410	6591	9446
411	6604	9426
412	6624	9416
413	6635	9392
414	6652	9378
415	6667	9360
416	6688	9351
417	6703	9333
418	6722	9321
419	6738	9305
420	6756	9292
421	6769	9271
422	6787	9258
423	6799	9236
424	6817	9223
425	6829	9202
426	6843	9183
427	6862	9171
428	6877	9154
429	6900	9147
430	6921	9137
431	6935	9119
432	6958	9111
433	6971	9091
434	6987	9076
435	7001	9057
436	7021	9046
437	7035	9027
438	7052	9012
439	7065	8991
440	7090	8987
441	7103	8967
442	7123	8956
443	7135	8935
444	7163	8934
445	7184	8923
446	7197	8904
447	7220	8897
448	7236	8880
449	7251	8862
450	7263	8841
451	7281	8828
452	7297	8811
453	7320	8803
454	7332	8782
455	7348	8766
456	7362	8748
457	7380	8733
458	7395	8716
459	7414	8704
460	7428	8684
461	7447	8672
462	7461	8653
463	7481	8642
464	7496	8625
465	7511	8607
466	7525	8589
467	7547	8580
468	7562	8562
469	7583	8551
470	7596	8532
471	7629	8534
472	7647	8520
473	7661	8501
474	7689	8498
475	7712	8490
476	7727	8472
477	7743	8456
478	7757	8437
479	7779	8428
480	7793	8409
481	7819	8403
482	7838	8390
483	7853	8372
484	7878	8365
485	7893	8348
486	7911	8333
487	7927	8317
488	7945	8302
489	7955	8279
490	7971	8263
491	7984	8244
492	8002	8230
493	8015	8209
494	8029	8192
495	8048	8178
496	8073	8170
497	8091	8156
498	8110	8143
499	8127	8127
500	8158	8126
501	8176	8110
502	8190	8093
503	8211	8080
504	8226	8063
505	8243	8047
506	8266	8038
507	8282	8021
508	8300	8007
509	8312	7986
510	8332	7973
511	8347	7956
512	8366	7942
513	8380	7923
514	8399	7910
515	8411	7890
516	8430	7875
517	8442	7855
518	8464	7844
519	8479	7826
520	8492	7807
521	8504	7787
522	8524	7774
523	8540	7757
524	8552	7737
525	8563	7717
526	8574	7696
527	8592	7681
528	8609	7665
529	8629	7652
530	8645	7636
531	8667	7625
532	8679	7604
533	8697	7589
534	8708	7569
535	8724	7552
536	8738	7534
537	8751	7515
538	8768	7499
539	8787	7485
540	8802	7468
541	8822	7454
542	8834	7435
543	8854	7422
544	8868	7404
545	8890	7392
546	8905	7374
547	8923	7360
548	8944	7347
549	8962	7333
550	8980	7318
551	8996	7301
552	9021	7292
553	9037	7275
554	9060	7264
555	9082	7253
556	9096	7234
557	9120	7224
558	9146	7216
559	9169	7204
560	9186	7188
561	9200	7170
562	9222	7158
563	9237	7141
564	9256	7126
565	9279	7115
566	9294	7097
567	9316	7085
568	9333	7069
569	9354	7056
570	9367	7038
571	9385	7022
572	9409	7011
573	9428	6997
574	9445	6981
575	9461	6964
576	9479	6949
577	9494	6931
578	9511	6915
579	9528	6899
580	9554	6890
581	9571	6874
582	9587	6857
583	9605	6841
584	9616	6822
585	9628	6802
586	9645	6786
587	9658	6767
588	9671	6748
589	9681	6727
590	9691	6706
591	9705	6688
592	9715	6668
593	9727	6648
594	9739	6629
595	9748	6607
596	9762	6589
597	9779	6574
598	9794	6557
599	9809	6539
600	9820	6519
601	9833	6501
602	9845	6481
603	9855	6461
604	9869	6443
605	9880	6423
606	9893	6405
607	9905	6386
608	9917	6367
609	9929	6348
610	9941	6329
611	9951	6309
612	9964	6291
613	9982	6275
614	9996	6258
615	10010	6240
616	10020	6220
617	10037	6204
618	10049	6185
619	10067	6170
620	10079	6151
621	10096	6136
622	10114	6120
623	10130	6104
624	10142	6085
625	10158	6069
626	10173	6051
627	10188	6035
628	10202	6017
629	10213	5998
630	10227	5980
631	10238	5961
632	10250	5942
633	10262	5924
634	10271	5904
635	10280	5884
636	10294	5866
637	10307	5848
638	10322	5831
639	10333	5812
640	10344	5793
641	10358	5776
642	10371	5758
643	10386	5741
644	10402	5725
645	10413	5706
646	10427	5689
647	10440	5671
648	10455	5654
649	10467	5636
650	10479	5617
651	10492	5600
652	10506	5582
653	10520	5565
654	10530	5546
655	10541	5527
656	10555	5510
657	10566	5491
658	10582	5476
659	10599	5460
660	10613	5443
661	10630	5427
662	10642	5409
663	10659	5394
664	10670	5375
665	10685	5358
666	10699	5341
667	10715	5325
668	10727	5307
669	10737	5288
670	10751	5271
671	10762	5253
672	10774	5235
673	10792	5220
674	10810	5204
675	10827	5189
676	10842	5173
677	10857	5156
678	10866	5137
679	10881	5120
680	10894	5103
681	10907	5085
682	10919	5067
683	10929	5049
684	10940	5031
685	10954	5014
686	10969	4997
687	10984	4981
688	10998	4964
689	11019	4950
690	11031	4932
691	11046	4916
692	11057	4898
693	11071	4881
694	11091	4867
695	11106	4851
696	11121	4834
697	11139	4819
698	11154	4803
699	11168	4786
700	11180	4768
701	11190	4750
702	11203	4733
703	11223	4719
704	11238	4702
705	11255	4687
706	11270	4670
707	11286	4655
708	11300	4638
709	11316	4622
710	11327	4604
711	11341	4587
712	11355	4570
713	11372	4555
714	11387	4539
715	11402	4522
716	11421	4508
717	11448	4496
718	11458	4478
719	11471	4461
720	11490	4446
721	11520	4435
722	11539	4421
723	11553	4404
724	11576	4391
725	11597	4376
726	11615	4361
727	11641	4349
728	11653	4332
729	11674	4317
730	11685	4300
731	11707	4286
732	11719	4269
733	11740	4254
734	11752	4237
735	11784	4226
736	11803	4212
737	11824	4197
738	11844	4183
739	11860	4167
740	11874	4150
741	11893	4135
742	11911	4120
743	11963	4116
744	12006	4109
745	12029	4095
746	12060	4084
747	12128	4086
748	12144	4069
749	12169	4056
750	12187	4040
751	12205	4025
752	12233	4012
753	12252	3997
754	12270	3981
755	12288	3965
756	12313	3952
757	12333	3937
758	12355	3923
759	12372	3907
760	12388	3890
761	12402	3873
762	12422	3858
763	12438	3842
764	12463	3828
765	12478	3812
766	12500	3797
767	12518	3781
768	12532	3764
769	12551	3749
770	12569	3733
771	12588	3717
772	12603	3701
773	12627	3687
774	12643	3670
775	12658	3654
776	12680	3639
777	12699	3623
778	12723	3609
779	12741	3593
780	12759	3577
781	12780	3562
782	12798	3546
783	12820	3532
784	12844	3518
785	12862	3501
786	12890	3488
787	12909	3473
788	12927	3457
789	12944	3440
790	12958	3424
791	12980	3408
792	12993	3391
793	13010	3375
794	13024	3358
795	13038	3341
796	13057	3325
797	13085	3312
798	13119	3300
799	13176	3294
800	13211	3282
801	13240	3268
802	13258	3252
803	13285	3238
804	13298	3221
805	13314	3204
806	13324	3186
807	13352	3172
808	13371	3156
809	13393	3141
810	13415	3126
811	13428	3109
812	13442	3091
813	13455	3074
814	13481	3060
815	13502	3044
816	13517	3027
817	13529	3010
818	13542	2992
819	13554	2975
820	13576	2960
821	13587	2942
822	13603	2925
823	13615	2908
824	13634	2892
825	13649	2875
826	13665	2858
827	13678	2841
828	13693	2824
829	13709	2807
830	13725	2791
831	13744	2775
832	13756	2757
833	13772	2741
834	13784	2723
835	13805	2708
836	13816	2690
837	13828	2673
838	13840	2656
839	13877	2643
840	13898	2627
841	13914	2610
842	13936	2595
843	13946	2577
844	13963	2561
845	13975	2543
846	13988	2526
847	14002	2509
848	14012	2492
849	14023	2474
850	14037	2457
851	14049	2440
852	14072	2425
853	14086	2408
854	14106	2392
855	14126	2376
856	14143	2360
857	14160	2343
858	14174	2326
859	14194	2310
860	14210	2294
861	14227	2277
862	14242	2260
863	14258	2244
864	14276	2228
865	14295	2211
866	14316	2196
867	14336	2180
868	14352	2163
869	14366	2146
870	14380	2129
871	14403	2114
872	14421	2097
873	14436	2081
874	14453	2064
875	14468	2048
876	14485	2031
877	14499	2014
878	14515	1998
879	14536	1982
880	14553	1965
881	14568	1949
882	14583	1932
883	14598	1915
884	14610	1898
885	14626	1882
886	14637	1864
887	14654	1848
888	14671	1831
889	14687	1815
890	14699	1798
891	14716	1781
892	14732	1765
893	14747	1748
894	14764	1732
895	14779	1715
896	14795	1698
897	14806	1681
898	14820	1665
899	14835	1648
900	14863	1633
901	14880	1616
902	14897	1600
903	14913	1583
904	14935	1567
905	14955	1551
906	14967	1534
907	14995	1519
908	15032	1504
909	15051	1488
910	15082	1473
911	15097	1456
912	15116	1440
913	15143	1424
914	15158	1408
915	15170	1391
916	15191	1375
917	15211	1358
918	15227	1342
919	15244	1325
920	15263	1309
921	15277	1292
922	15290	1275
923	15308	1259
924	15330	1242
925	15353	1226
926	15366	1210
927	15388	1193
928	15418	1178
929	15440	1162
930	15458	1145
931	15476	1129
932	15489	1112
933	15502	1095
934	15516	1078
935	15528	1061
936	15552	1045
937	15567	1028
938	15582	1012
939	15593	995
940	15609	978
941	15623	961
942	15635	945
943	15648	928
944	15661	911
945	15680	895
946	15696	878
947	15717	862
948	15747	846
949	15758	829
950	15781	813
951	15810	797
952	15820	780
953	15839	763
954	15852	746
955	15873	730
956	15884	713
957	15905	697
958	15917	680
959	15933	663
960	15945	647
961	15959	630
962	15977	613
963	15996	597
964	16017	580
965	16032	564
966	16058	548
967	16076	531
968	16104	515
969	16115	498
970	16140	482
971	16154	465
972	16171	448
973	16191	432
974	16209	415
975	16221	398
976	16237	382
977	16257	365
978	16275	349
979	16288	332
980	16303	315
981	16318	299
982	16334	282
983	16345	265
984	16361	249
985	16380	232
986	16410	216
987	16427	199
988	16441	182
989	16457	166
990	16479	149
991	16499	133
992	16520	116
993	16538	99
994	16556	83
995	16571	66
996	16595	49
997	16616	33
998	16631	16
999	16647	0
