iter	Logloss
0	0.6495199803
1	0.6136871265
2	0.5815157758
3	0.5548454284
4	0.5295868818
5	0.5085936564
6	0.4885431606
7	0.4697366726
8	0.4533221699
9	0.4390943849
10	0.4273593759
11	0.4170004519
12	0.4085734874
13	0.3999247454
14	0.3915365606
15	0.38491971
16	0.3790647034
17	0.3737489182
18	0.3693762142
19	0.3643972611
20	0.3606611416
21	0.3572963575
22	0.3537752935
23	0.3512493825
24	0.3484886961
25	0.345874218
26	0.3441290359
27	0.3419100211
28	0.3397871128
29	0.3381025942
30	0.3360853786
31	0.3346746702
32	0.3324843326
33	0.3312810171
34	0.3297568168
35	0.3283509845
36	0.3271540218
37	0.3258961793
38	0.3247648115
39	0.3236067379
40	0.3225072773
41	0.3216323528
42	0.3204298949
43	0.3193998784
44	0.3183042708
45	0.3174478735
46	0.3168038631
47	0.3160420066
48	0.3151921474
49	0.3144106696
50	0.3137453433
51	0.3131021024
52	0.3124940051
53	0.3118110004
54	0.3113813662
55	0.311001248
56	0.3103934661
57	0.3099883664
58	0.3096054882
59	0.3091173524
60	0.3087500773
61	0.3082941251
62	0.3078180564
63	0.3072063286
64	0.3068102588
65	0.3060482443
66	0.3056137071
67	0.3052538882
68	0.3047772477
69	0.3044542092
70	0.3040976551
71	0.3037508426
72	0.3032710865
73	0.3027036836
74	0.3024417168
75	0.3022320795
76	0.3018881638
77	0.3015917628
78	0.3013702384
79	0.3009576179
80	0.3006444237
81	0.3003944635
82	0.3001921942
83	0.2998680855
84	0.299605711
85	0.2994017081
86	0.2991233421
87	0.2986057824
88	0.2983172132
89	0.2980113528
90	0.2977873594
91	0.2976572812
92	0.2974514966
93	0.2971363684
94	0.2968818073
95	0.2966545866
96	0.2963685289
97	0.2961837012
98	0.295827761
99	0.2956086562
100	0.2954220607
101	0.2952721167
102	0.2950343169
103	0.2948139071
104	0.2944704068
105	0.2942786306
106	0.2940475933
107	0.2937912189
108	0.2936511708
109	0.2934858651
110	0.2932641442
111	0.2930470565
112	0.2928239665
113	0.2926055793
114	0.2924569935
115	0.292131126
116	0.2919241136
117	0.2917471409
118	0.2915920842
119	0.2914753666
120	0.2912919335
121	0.291179325
122	0.2909970873
123	0.290848843
124	0.290651472
125	0.2904175529
126	0.2900181143
127	0.28974373
128	0.2896600588
129	0.289485698
130	0.2893471658
131	0.289109026
132	0.2889329656
133	0.2887534758
134	0.2886173046
135	0.288472842
136	0.2883584701
137	0.2882568569
138	0.2881472043
139	0.287900557
140	0.2877904418
141	0.2876624717
142	0.287450863
143	0.2873219918
144	0.2871757795
145	0.2870402958
146	0.286923081
147	0.2867777824
148	0.2865970955
149	0.2864490498
150	0.2863235598
151	0.2861857277
152	0.285973782
153	0.2858763107
154	0.2856765815
155	0.2855872964
156	0.2855093164
157	0.2854285369
158	0.2853324311
159	0.2852281455
160	0.2851350198
161	0.2850371875
162	0.284947646
163	0.2848336145
164	0.2847170888
165	0.284630456
166	0.2845222692
167	0.2842860449
168	0.2841508124
169	0.2840395096
170	0.283922759
171	0.2837433515
172	0.2836787359
173	0.2836068514
174	0.2834765658
175	0.2832452766
